time,open,high,low,close
2023-04-28T10:30:00-03:00,102783.75,102783.75,102644.36,102644.36
2023-04-28T10:31:00-03:00,102645.86,102645.86,102555.74,102555.74
2023-04-28T10:32:00-03:00,102530.82,102530.82,102483.45,102483.45
2023-04-28T10:33:00-03:00,102502.58,102502.58,102469.51,102469.51
2023-04-28T10:34:00-03:00,102467,102562.28,102467,102562.28
2023-04-28T10:35:00-03:00,102595.64,102605.09,102595.64,102605.09
2023-04-28T10:36:00-03:00,102604.93,102604.93,102588.53,102588.53
2023-04-28T10:37:00-03:00,102618.35,102624.79,102618.35,102624.79
2023-04-28T10:38:00-03:00,102638.27,102711.14,102638.27,102711.14
2023-04-28T10:39:00-03:00,102683.88,102702.36,102683.88,102702.36
2023-04-28T10:40:00-03:00,102657.46,102657.46,102611.9,102611.9
2023-04-28T10:41:00-03:00,102630.9,102722.9,102630.9,102722.9
2023-04-28T10:42:00-03:00,102709.8,102745.36,102709.8,102745.36
2023-04-28T10:43:00-03:00,102722.93,102734.23,102722.93,102734.23
2023-04-28T10:44:00-03:00,102643.9,102643.9,102528.64,102528.64
2023-04-28T10:45:00-03:00,102507.61,102507.61,102504.52,102504.52
2023-04-28T10:46:00-03:00,102509.76,102509.76,102452.02,102452.02
2023-04-28T10:47:00-03:00,102561.31,102561.31,102482.41,102482.41
2023-04-28T10:48:00-03:00,102546.8,102546.8,102546.37,102546.37
2023-04-28T10:49:00-03:00,102584.66,102602.51,102584.66,102602.51
2023-04-28T10:50:00-03:00,102511.01,102544.69,102511.01,102544.69
2023-04-28T10:51:00-03:00,102573.57,102575.15,102573.57,102575.15
2023-04-28T10:52:00-03:00,102564.38,102564.38,102448.52,102448.52
2023-04-28T10:53:00-03:00,102491.42,102528.98,102491.42,102528.98
2023-04-28T10:54:00-03:00,102569.48,102602.45,102569.48,102602.45
2023-04-28T10:55:00-03:00,102682.52,102682.52,102647.2,102647.2
2023-04-28T10:56:00-03:00,102632.35,102632.35,102619.9,102619.9
2023-04-28T10:57:00-03:00,102711.72,102711.72,102657.73,102657.73
2023-04-28T10:58:00-03:00,102643.11,102643.11,102636.15,102636.15
2023-04-28T10:59:00-03:00,102643.47,102688.53,102643.47,102688.53
2023-04-28T11:00:00-03:00,102680.53,102680.53,102666.16,102666.16
2023-04-28T11:01:00-03:00,102655.31,102676.56,102655.31,102676.56
2023-04-28T11:02:00-03:00,102666.55,102675.45,102666.55,102675.45
2023-04-28T11:03:00-03:00,102768.17,102771.9,102768.17,102771.9
2023-04-28T11:04:00-03:00,102794.05,102794.05,102768.67,102768.67
2023-04-28T11:05:00-03:00,102778,102778,102739.84,102739.84
2023-04-28T11:06:00-03:00,102857.81,102873,102857.81,102873
2023-04-28T11:07:00-03:00,102865.26,102865.26,102858.74,102858.74
2023-04-28T11:08:00-03:00,102842.79,102842.79,102783.6,102783.6
2023-04-28T11:09:00-03:00,102761.61,102845.28,102761.61,102845.28
2023-04-28T11:10:00-03:00,102852.6,102906.44,102852.6,102906.44
2023-04-28T11:11:00-03:00,102898.05,102898.05,102853.54,102853.54
2023-04-28T11:12:00-03:00,102883.97,102933.53,102883.97,102933.53
2023-04-28T11:13:00-03:00,103001.97,103001.97,103001.5,103001.5
2023-04-28T11:14:00-03:00,103060.29,103060.29,103057.06,103057.06
2023-04-28T11:15:00-03:00,103080.65,103165.05,103080.65,103165.05
2023-04-28T11:16:00-03:00,103170.57,103170.57,103095.3,103095.3
2023-04-28T11:17:00-03:00,103155.59,103283.81,103155.59,103283.81
2023-04-28T11:18:00-03:00,103315.93,103357.61,103315.93,103357.61
2023-04-28T11:19:00-03:00,103400.61,103400.61,103345.29,103345.29
2023-04-28T11:20:00-03:00,103440.32,103509.55,103440.32,103509.55
2023-04-28T11:21:00-03:00,103660.91,103660.91,103586.93,103586.93
2023-04-28T11:22:00-03:00,103779,103811.9,103779,103811.9
2023-04-28T11:23:00-03:00,103857.87,103864.67,103857.87,103864.67
2023-04-28T11:24:00-03:00,103874.68,103874.68,103862.22,103862.22
2023-04-28T11:25:00-03:00,103962.7,104031.24,103962.7,104031.24
2023-04-28T11:26:00-03:00,103969.54,103969.54,103892.83,103892.83
2023-04-28T11:27:00-03:00,103845.23,103845.23,103797.91,103797.91
2023-04-28T11:28:00-03:00,103883.57,103883.57,103846.23,103846.23
2023-04-28T11:29:00-03:00,103852.52,103877.97,103852.52,103877.97
2023-04-28T11:30:00-03:00,103990.84,104010.06,103990.84,104010.06
2023-04-28T11:31:00-03:00,103955.46,103955.46,103951.8,103951.8
2023-04-28T11:32:00-03:00,103875.66,103875.66,103864.68,103864.68
2023-04-28T11:33:00-03:00,103844.3,103844.3,103816.22,103816.22
2023-04-28T11:34:00-03:00,103849.89,103874.55,103849.89,103874.55
2023-04-28T11:35:00-03:00,103873.22,103878.2,103873.22,103878.2
2023-04-28T11:36:00-03:00,103873.16,103873.16,103840.47,103840.47
2023-04-28T11:37:00-03:00,103859,103859,103858.97,103858.97
2023-04-28T11:38:00-03:00,103845.67,103934.01,103845.67,103934.01
2023-04-28T11:39:00-03:00,103791.36,103791.36,103773.24,103773.24
2023-04-28T11:40:00-03:00,103756.08,103756.08,103749.35,103749.35
